Date,open,high,low,close,Volume,RSI,MACD,OnBalanceVolume,silver_mean,sp500_mean,vix_mean,gold_mean
25-06-2021,34665.245,35501.9475,31280.925,31588.94,168064730.6,37.77362143,-1874.770932,-1925386864,,4278.485,15.825,
26-06-2021,31580.8575,32724.15125,30153.2925,32282.425,146905725.8,39.79381398,-1925.659936,-1778481138,,,,
27-06-2021,32285.0175,34750.54,31997.9225,34699.02,118845465.5,46.33237924,-1750.808586,-1659635673,26.0825,,,1779.66
28-06-2021,34701.36375,35293.7425,33866.12875,34489.04,124924895.3,45.86627278,-1610.615095,-1784560568,25.8975,4287.76,15.91,1769
29-06-2021,34489.6025,36600.5225,34230.76375,35910.89125,130961151.1,49.56620242,-1368.99827,-1653599417,25.943,4292.51,15.86,1765.92
30-06-2021,35908.86125,36096.3075,34027.69625,35043.71,117795129.8,47.43668778,-1233.273071,-1771394547,26.035,4294.07,16.01,1772.47
01/07/21,35044.35625,35053.2275,32706.89625,33507.6575,112888931.9,43.84354699,-1235.415372,-1884283479,26.2365,4310.33,15.545,1781.745
02/07/21,33504.64125,33980.57625,32700.395,33794.1225,91376008.42,44.68504497,-1200.163098,-1792907470,,4339.465,15.305,
03/07/21,33796.75125,34944.285,33322.43875,34672.4275,66665220.15,47.2928476,-1088.802505,-1726242250,,,,
04/07/21,34668.83875,35965.1725,34355.6,35280.1475,63337314.06,49.08170328,-940.6670835,-1662904936,26.4495,,,1789.155
05/07/21,35283.4,35287.05625,33130.0775,33689.06,84218648.38,44.7952431,-940.8110742,-1747123584,26.2905,,,1792.375
06/07/21,33692.11375,35103.70625,33519.55,34220.7375,89859347.43,46.47724417,-887.7893737,-1657264237,26.132,4349.995,16.11,1799.305
07/07/21,34219.15,35058.6475,33780.27375,33858.4925,77664313.23,45.46090035,-865.0279346,-1734928550,25.9855,4354.575,16.32,1803.115
08/07/21,33854.8575,33924.94,32088.8475,32878.8825,88634043.59,42.73906534,-915.4825572,-1823562594,26.003,4320.95,18.375,1805.505
09/07/21,32872.5,34099.40125,32267.5125,33817.6475,69121491.67,46.07132856,-869.692446,-1754441102,,4354.045,17.025,
